run.order,std.order,ultrasound,time,force,gold,chrome,temperature,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,bondtool
1,2,210,150,200,40,6,100,100,70,70,25,55,60,87.5,80,75,82.5,1
2,16,160,250,250,70,10,100,30,65,60,60,62.5,45,67.5,65,60,55,1
3,36,160,250,200,70,10,50,72.5,90,40,65,70,62.5,72.5,70,65,77.5,1
4,33,160,150,200,70,2,50,75,72.5,80,80,95,75,70,62.5,60,87.5,1
5,43,110,200,250,70,6,50,57.5,35,37.5,50,45,55,50,70,60,62.5,1
6,27,110,200,200,100,2,100,80,65,70,65,70,82.5,80,72.5,85,80,1
7,12,160,250,250,70,2,100,60,0,10,20,20,25,35,35,30,30,2
8,35,160,150,200,70,10,50,35,40,37.5,35,40,32.5,30,37.5,35,20,2
9,42,210,200,150,70,6,50,0,0,20,20,37.5,40,30,25,40,27.5,2
10,41,110,200,150,70,6,50,0,0,0,20,25,42.5,47.5,25,20,15,2
11,4,210,250,200,40,6,100,27.5,30,0,30,30,30,25,0,40,50,2
12,7,110,250,200,100,6,100,50,50,40,47.5,52.5,37.5,40,40,40,40,2
13,48,210,200,250,70,6,150,40,0,45,40,42.5,50,37.5,30,47.5,52.5,2
14,38,160,250,200,70,2,150,0,45,30,40,42.5,25,32.5,20,35,30,2
15,5,110,150,200,100,6,100,30,55,47.5,45,52.5,50,60,57.5,60,42.5,2
16,45,110,150,150,70,6,150,32.5,52.5,57.5,50,50,60,57.5,42.5,50,52.5,2
17,39,160,150,200,70,10,150,52.5,27.5,37.5,35,20,27.5,40,15,20,0,2
18,23,160,200,150,100,6,150,40,37.5,35,40,30,0,52.5,40,50,47.5,2
19,1,110,150,150,40,6,100,65,50,57.5,50,65,50,40,52.5,52.5,32.5,2
20,25,110,200,200,40,2,100,65,40,45,45,50,40,50,50,37.5,50,2
21,46,210,200,150,70,6,150,0,45,45,40,60,45,37.5,25,40,47.5,2
22,34,160,250,200,70,2,50,40,40,45,35,35,32.5,37.5,47.5,42.5,30,2
23,21,160,200,150,40,6,150,50,50,42.5,20,40,40,35,40,30,32.5,2
24,6,210,150,200,100,6,100,0,30,30,35,50,60,62.5,35,50,50,3
25,18,160,200,250,40,6,50,50,45,47.5,30,30,47.5,30,37.5,32.5,27.5,3
26,15,160,150,250,70,10,100,40,20,40,40,30,37.5,20,15,35,10,3
27,49,160,200,200,70,6,100,50,30,35,0,30,37.5,40,40,30,40,3
28,31,110,200,200,100,10,100,50,45,50,55,55,55,57.5,50,52.5,55,4
29,10,160,250,150,70,2,100,50,50,45,32.5,52.5,27.5,30,40,30,32.5,4
30,22,160,200,250,40,6,150,0,57.5,40,0,55,55,60,30,70,55,4
31,17,160,200,150,40,6,50,50,50,67.5,60,55,50,60,47.5,65,70,4
32,30,210,200,200,40,10,100,20,45,45,40,57.5,50,40,40,50,40,4
33,24,160,200,250,100,6,150,40,60,62.5,60,70,67.5,50,60,75,60,4
34,9,160,150,150,70,2,100,42.5,62.5,60,60,42.5,55,55,60,57.5,67.5,4
35,3,110,250,200,40,6,100,40,50,40,57.5,55,70,50,67.5,55,55,4
36,51,160,200,200,70,6,100,30,35,40,30,37.5,20,50,35,0,30,4
37,8,210,250,200,100,6,100,37.5,45,50,50,60,70,50,30,57.5,40,4
38,28,210,200,200,100,2,100,42.5,32.5,32.5,45,42.5,62.5,30,35,52.5,50,4
39,14,160,250,150,70,10,100,45,47.5,40,40,40,35,45,47.5,55,60,4
40,32,210,200,200,100,10,100,40,30,50,40,55,0,30,32.5,45,45,4
41,29,110,200,200,40,10,100,40,50,45,47.5,50,40,40,35,45,50,4
42,37,160,150,200,70,2,150,32.5,25,40,27.5,30,30,30,50,52.5,47.5,4
43,13,160,150,150,70,10,100,50,45,45,45,45,60,40,20,50,40,4
44,50,160,200,200,70,6,100,40,30,35,35,35,50,57.5,57.5,35,40,4
45,11,160,150,250,70,2,100,20,20,30,35,30,30,25,45,37.5,35,5
46,40,160,250,200,70,10,150,45,32.5,20,20,32.5,35,20,42.5,30,50,5
47,47,110,200,250,70,6,150,20,20,25,47.5,20,30,30,30,35,52.5,5
48,19,160,200,150,100,6,50,40,55,40,60,60,65,57.5,60,67.5,62.5,5
49,44,210,200,250,70,6,50,0,30,40,45,20,40,40,40,30,47.5,5
50,20,160,200,250,100,6,50,20,30,20,25,15,10,10,25,10,30,5
51,26,210,200,200,40,2,100,50,50,30,35,42.5,60,45,55,50,45,5